category,bathrooms,bedrooms,has_photo,price,square_feet,cityname,state,latitude,longitude,source,allows_cats,allows_dogs,has_pool,has_parking,has_fee
housing/rent/apartment,1.0,1.0,1,2195.0,542,Redondo Beach,CA,33.852,-118.3759,RentLingo,1,0,0,0,0
housing/rent/apartment,1.5,3.0,1,1250.0,1500,Newport News,VA,37.0867,-76.4941,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,3.0,1,1395.0,1650,Raleigh,NC,35.823,-78.6438,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,2.0,1,1600.0,820,Vacaville,CA,38.3622,-121.9712,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,975.0,624,Albuquerque,NM,35.1038,-106.611,RentLingo,1,1,0,0,0
housing/rent/apartment,1.5,2.0,1,1250.0,965,Albuquerque,NM,35.1038,-106.611,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,2.0,1,1600.0,1120,Hampton,VA,37.0451,-76.3664,RentLingo,0,0,0,0,0
housing/rent/apartment,2.0,2.0,1,1300.0,947,Lakewood,CO,39.6894,-105.1119,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,795.0,600,Charleston,WV,38.3454,-81.6219,RentLingo,0,1,0,0,0
housing/rent/apartment,2.0,2.0,1,2150.0,1005,Chatsworth,CA,34.2551,-118.5976,RentLingo,0,0,0,0,0
housing/rent/apartment,2.5,3.0,1,1795.0,1522,Alpharetta,GA,34.0718,-84.2525,RentLingo,0,0,0,0,0
housing/rent/apartment,3.0,2.0,1,3195.0,3077,Marblehead,MA,42.4982,-70.8647,RentLingo,0,0,0,0,0
housing/rent/apartment,2.0,2.0,1,2395.0,896,Washington,DC,38.9118,-77.0132,RentLingo,0,0,0,0,0
housing/rent/apartment,3.5,4.0,1,7800.0,4650,Scottsdale,AZ,33.5783,-111.8902,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,3.0,1,720.0,800,Ames,IA,42.0259,-93.6516,RentLingo,0,0,0,0,0
housing/rent/apartment,1.5,2.0,1,2000.0,872,Kirkland,WA,47.7046,-122.1989,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,729.0,800,San Antonio,TX,29.4624,-98.5253,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,1045.0,700,Villa Park,IL,41.8787,-87.9798,RentLingo,1,1,0,0,0
housing/rent/apartment,3.0,3.0,1,1800.0,1500,Oxford,MS,34.3504,-89.519,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,1250.0,435,Portland,OR,45.5091,-122.6449,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,0.0,1,1099.0,290,Portland,OR,45.5091,-122.6449,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,1060.0,650,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,1,0
housing/rent/apartment,1.0,1.0,1,1003.0,797,Round Rock,TX,30.5118,-97.6873,RentLingo,0,0,1,0,0
housing/rent/apartment,1.0,1.0,1,837.0,444,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,1,0
housing/rent/apartment,1.0,1.0,1,1020.0,692,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,1,0
housing/rent/apartment,1.0,1.0,1,985.0,693,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0
housing/rent/apartment,1.0,1.0,1,1581.0,703,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0
housing/rent/apartment,1.0,1.0,1,1090.0,665,Georgetown,TX,30.6505,-97.6809,RentLingo,0,0,1,1,0
housing/rent/apartment,2.5,3.0,1,3250.0,1525,Ladera Ranch,CA,33.5585,-117.6695,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,962.0,532,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,1,0
housing/rent/apartment,2.0,2.0,1,1740.0,1600,West Palm Beach,FL,26.7173,-80.1164,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,1722.0,453,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,840.0,540,Round Rock,TX,30.5118,-97.6873,RentLingo,0,0,1,1,0
housing/rent/apartment,2.0,2.0,1,1590.0,1000,Kansas City,MO,39.0744,-94.5521,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,975.0,615,San Antonio,TX,29.4624,-98.5253,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,0.0,1,895.0,430,Pittsburgh,PA,40.4448,-79.9725,RentLingo,1,1,0,0,0
housing/rent/apartment,2.5,3.0,1,1695.0,1550,Urbandale,IA,41.6251,-93.7375,RentLingo,1,1,0,0,0
